Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,49.230000,51.580002,48.910000,51.340000,40.456238,27671400
2017-05-01,51.290001,56.070000,51.180000,55.619999,43.828911,29063100
2017-06-01,56.099998,56.480000,53.430000,54.119999,42.964565,36463700
2017-07-01,53.840000,57.450001,53.290001,56.990002,45.243000,24111100
2017-08-01,56.849998,58.410000,56.270000,58.209999,46.211521,21102300
2017-09-01,58.529999,59.680000,56.860001,57.959999,46.350769,20297200
2017-10-01,58.000000,60.130001,53.939999,56.650002,45.303158,35705700
2017-11-01,56.549999,57.599998,54.799999,56.480000,45.167210,21033600
2017-12-01,56.040001,56.560001,55.060001,55.340000,44.590492,20982900
2018-01-01,55.189999,57.840000,53.860001,56.470001,45.500996,39075800
2018-02-01,57.520000,57.860001,51.380001,51.599998,41.576973,26523700
2018-03-01,50.910000,56.080002,50.740002,55.560001,45.144672,24219900
2018-04-01,55.389999,56.939999,53.730000,55.970001,45.477810,18218500
2018-05-01,55.500000,56.639999,53.470001,55.279999,44.917160,17263100
2018-06-01,55.450001,55.930000,53.320000,55.279999,45.320900,19936000
2018-07-01,54.799999,57.270000,54.310001,57.009998,46.739223,12984800
2018-08-01,57.110001,58.070000,55.189999,56.869999,46.624443,14482000
2018-09-01,55.790001,56.490002,54.310001,54.970001,45.427700,12680500
2018-10-01,55.290001,55.369999,51.560001,52.980000,43.783157,24484100
2018-11-01,53.150002,55.110001,52.820000,54.290001,44.865753,25101300
2018-12-01,54.180000,55.060001,50.799999,52.250000,43.548950,28955600
2019-01-01,52.040001,53.189999,51.320000,52.599998,43.840664,21023700
2019-02-01,53.230000,55.689999,52.660000,53.230000,44.365749,20437200
2019-03-01,52.860001,58.090000,52.660000,57.720001,48.499443,24186500
2019-04-01,57.450001,60.910000,56.810001,60.799999,51.087410,15100300
2019-05-01,60.820000,62.150002,59.529999,60.910000,51.179844,17724200
2019-06-01,61.259998,63.450001,60.959999,61.970001,52.474640,13417900
2019-07-01,62.259998,64.099998,59.619999,60.119999,50.908108,12164000
2019-08-01,60.169998,63.540001,58.450001,63.180000,53.499233,16271600
2019-09-01,63.619999,64.839996,59.889999,60.099998,51.287548,14449800
2019-10-01,59.950001,60.380001,58.180000,60.110001,51.296089,20521400
2019-11-01,60.430000,60.619999,58.029999,59.490002,51.151302,14135100
2019-12-01,59.259998,62.070000,55.759998,57.169998,49.156498,22161600
2020-01-01,57.130001,60.169998,55.410000,59.770000,51.392063,27273500
2020-02-01,59.970001,60.970001,52.660000,53.930000,46.370644,17915300
2020-03-01,54.680000,58.380001,44.060001,50.570000,43.811947,54425200
2020-04-01,49.369999,54.349998,49.130001,51.869999,44.938213,32642100
2020-05-01,51.910000,54.529999,49.750000,54.049999,46.826881,28307700
2020-06-01,54.230000,58.209999,53.869999,54.880001,47.958122,29896900
2020-07-01,54.700001,62.639999,53.560001,60.480000,52.851803,20907900
2020-08-01,61.720001,62.250000,58.689999,59.580002,52.065323,15159500
2020-09-01,59.450001,62.939999,58.459999,61.680000,54.316833,20437400
2020-10-01,61.869999,63.889999,56.400002,56.830002,50.045826,24586900
2020-11-01,57.709999,63.450001,57.380001,61.060001,54.221462,33683600
2020-12-01,60.369999,61.230000,57.119999,60.360001,53.599861,46208500
2021-01-01,61.310001,61.430000,58.189999,58.340000,51.806091,32680500
2021-02-01,58.549999,59.369999,51.980000,52.060001,46.229435,58083500
2021-03-01,52.689999,56.830002,52.380001,55.830002,50.051342,54657000
2021-04-01,56.080002,59.130001,55.599998,58.720001,52.642216,38623500
2021-05-01,59.040001,61.200001,58.139999,59.970001,53.762833,35189200
2021-06-01,60.490002,61.810001,58.270000,58.500000,52.895676,27211800
2021-07-01,58.590000,60.259998,55.500000,57.529999,52.018608,37311500
2021-08-01,57.340000,58.160000,55.220001,55.680000,50.345833,30920500
2021-09-01,55.730000,56.060001,53.860001,54.220001,49.459198,44579900
2021-10-01,54.360001,54.470001,52.180000,53.580002,48.875389,38944200
2021-11-01,53.500000,54.130001,50.770000,50.849998,46.385090,57360900
2021-12-01,51.209999,53.830002,50.599998,53.790001,49.523159,64016900
2022-01-01,53.529999,54.360001,46.070000,51.389999,47.313530,145174100
2022-02-01,50.810001,53.509998,48.349998,50.270000,46.282375,58595000
2022-03-01,49.669998,49.939999,43.110001,45.570000,42.354946,104842100
2022-04-01,46.110001,46.840000,43.959999,46.259998,42.996265,81392700
2022-05-01,45.590000,48.500000,42.540001,48.330002,44.920223,99127200
2022-06-01,47.259998,47.369999,43.160000,45.830002,43.040638,73485700
2022-07-01,45.500000,49.110001,45.290001,48.660000,45.698395,54371700
2022-08-01,48.880001,49.230000,45.360001,45.389999,42.627422,48661000
2022-09-01,44.919998,47.099998,43.130001,43.840000,41.541199,63244200
2022-10-01,43.799999,45.950001,42.439999,45.509998,43.123631,66301100
2022-11-01,45.830002,50.490002,44.490002,50.380001,47.738270,51463500
2022-12-01,50.889999,51.669998,50.040001,50.349998,48.127865,50355200
2023-01-01,50.090000,51.660000,49.570000,51.099998,48.844765,37213300
2023-02-01,50.820000,52.340000,49.130001,49.930000,47.726410,33719300
2023-03-01,49.950001,52.209999,48.570000,51.930000,50.084480,49319200
2023-04-01,51.959999,55.990002,51.799999,55.529999,53.556545,38028400
2023-05-01,55.459999,55.770000,49.779999,49.939999,48.165203,41500600
2023-06-01,50.259998,52.250000,49.700001,52.130001,50.719807,48861000
2023-07-01,52.200001,54.380001,50.900002,53.730000,52.276524,37771600
2023-08-01,53.570000,53.820000,50.310001,51.020000,49.639835,40861300
2023-09-01,51.180000,51.740002,48.660000,49.400002,48.498562,31889300
2023-10-01,48.959999,49.310001,46.160000,47.349998,46.485966,50984700
2023-11-01,47.480000,48.930000,46.919998,47.700001,46.829582,54862300
2023-12-01,47.680000,48.680000,47.200001,48.480000,48.046501,48224400
2024-01-01,48.040001,49.430000,46.779999,48.689999,48.254620,64279800
2024-02-01,48.680000,51.430000,48.540001,48.970001,48.532120,52515200
2024-03-01,48.930000,50.279999,48.419998,49.990002,49.990002,40947400
2024-03-22,49.959999,50.275002,49.919998,49.990002,49.990002,2337173
